id,name,avatar_url,total_stake,own_stake,delegated_stake,allocated_stake,available_stake,number_of_allocations,number_of_subgraphs,query_fees_earned,indexing_rewards,total_rewards,is_active,is_underserving,is_suspicious,indexer_size,aer,qfr,aer_normalized,qfr_normalized,final_score,performance_flag,penalty,delegator_rewards,delegator_rewards_percentage
0xa6ff993e0f6253f1b7f55c873577a2f0f0ceb325,0xa6ff993e0f6253f1b7f55c873577a2f0f0ceb325,,8515900.469147101,8515900.469147101,0.0,8515900.0,0.46914710104465485,15,15,9353.441486993286,1596138.2699250183,1596138.2699250183,True,False,False,medium,56.772666666666666,0.0010983503196365957,2.02,1.03,9.97,Poor,0.0,0.0,0.00%
0xaa988dcb035518bc0e20082a3148a5d3dfd1776d,stake🦑squid-1.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmWYdtct6Ma3rUaZV5JpxGf5qCY4cXHMqenf1pxCp7kSen,33098658.163155954,2850000.3453813577,30248657.817774598,32121263.0,977395.1631559543,331,331,34940.02775629716,4217753.42131505,12663297.629558574,True,False,False,large,4.8521545317220545,0.0010877538581312062,1.09,1.03,9.97,Fair,0.0,8445544.208243525,66.69%
0xaddd3e23599d2b7267067afbcd18830aefca640a,0xaddd3e23599d2b7267067afbcd18830aefca640a,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmSiebU4x5uvwBnSZpaoUkiFa2oULv636zCyzHw6ycxNyz,978810.4406247211,538865.5848910016,439944.85573371954,978948.0,-137.55937527888454,1,1,11656.114504827829,184470.37446079653,429433.6986937254,True,True,True,small,195.7896,0.011906775952172974,4.52,1.36,10.0,Poor,2.7,244963.32423292886,57.04%
0xb4b4570df6f7fe320f10fdfb702dba7e35244550,nodeify.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmVZeG2yjcdGKXHwZBsq8fYHfEy6nvXs1HtLmys6GyTjg8,9445476.796397379,1063781.3722183183,8381695.42417906,9445242.0,234.7963973786682,25,25,52654.97109731756,574789.2336456426,2498139.4466713145,True,False,False,medium,37.780968,0.005574761461624547,1.68,1.17,9.83,Excellent,0.0,1923350.213025672,76.99%
0xb54c7c9fa1a51300e6054b70ae9952c1fb2800b4,kukisglobal.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmV9ZoGCVtTu8ZUtxUg6ZExdX6HMTmUnHuTimpRApyasci,6948605.311466173,806255.4841905583,6142349.827275615,11947610.0,-4999004.688533827,5,5,0.0,333717.4055037295,2389214.1636391403,True,True,True,medium,238.9522,0.0,5.3,1.0,10.0,Poor,1.5,2055496.758135411,86.03%
0xb8ca929e2bd96548cabcabc56cfc9a5147cef0ff,waynewayner.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmNVU1D3LSLDDgahE9Et41sFcePqYzSDPeF8sFKoGh5vd2,3614987.787377256,230000.0,3384987.787377256,3571198.0,43789.78737725597,7,7,0.0,355354.9576746024,983318.5252913701,True,True,True,medium,51.017114285714285,0.0,1.92,1.0,10.0,Poor,0.9,627963.5676167677,63.86%
0xc55c63563efb36f7cc65ac3060c52987c6694b37,figment-prime.eth,,12189455.868808541,10108060.08579207,2081395.7830164703,30555178.7,-18365722.831191458,12,12,6802.402092629886,2018248.06916593,8036221.6083204765,True,False,False,medium,254.62648916666666,0.0002226268142437631,5.58,1.01,9.99,Poor,0.0,6017973.539154546,74.89%
0xc9014686f6336ad558b539565d5dff840b339082,rampdefigrt.eth,,36292234.87587967,2434300.054641867,33857934.8212378,36292000.0,234.87587966769934,25,25,14145.859541907135,8519004.00611035,8519004.00611035,True,False,False,large,72.584,0.00038977900203645806,2.31,1.01,9.99,Poor,0.0,0.0,0.00%
0xd9819426c82e2b8fc58b9b62a78efe93f78077c6,0xd9819426c82e2b8fc58b9b62a78efe93f78077c6,,83550648.17914923,83550648.17914923,0.0,83550581.0,67.1791492253542,193,193,4153.729632761108,4197992.449516954,4197992.449516954,True,False,False,mega,10.822614119170984,4.97151495901759e-05,1.19,1.0,10.0,Poor,0.0,0.0,0.00%
0xda20dde459c8d918f81566995d899a046d4d8503,dsrvlabs-indexer-01.eth,https://api.thegraph.com/ipfs/api/v0/cat?arg=QmNeV1pdETzBdzAsL39YRQyVeNwUrJsUbonhY5X92a89Z6,934191.2547690091,362036.38540211256,572154.8693668966,1075300.0,-141108.74523099093,13,13,7415.470623219984,92425.08161896416,245233.86293130176,True,False,False,small,16.543076923076924,0.006896187690151571,1.3,1.21,9.79,Excellent,0.0,152808.7813123376,62.31%
